,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2030,3,3.49,55.14,387,0.179705001,0.151014344,28.7635,0.582726352,0,0,584.6581276,1205.210469,0.697912839,16.87799179,4609.92416,46.34581182,3032.239478,46.34581182,0,0
CH2031,3,3.46,32.14,500,0.111261502,0.055239028,28.7315,0.562122872,0,0,589.3639927,1209.421378,0.697912839,3.603096076,4623.961638,61.02669101,3032.239478,61.02669101,0,0
CH2032,4,3.46,39.65,500,0.111261502,0.055239028,28.7315,0.562122872,0,0,589.244167,1209.303715,0.697912839,3.72330361,4623.90331,60.93737003,3032.239478,60.93737003,0,0
CH2033,2,3.55,82,500,0.111261502,0.055239028,28.7315,0.562122872,0,0,589.1459917,1209.2076,0.697912839,3.825559569,4623.848337,60.85744892,3032.239478,60.85744892,0,0
CH2034,3,3.41,38,500,0.111261502,0.055239028,28.73,0.563064014,0,0,589.0661962,1209.129444,0.697912839,3.908238399,4623.804488,60.79332783,3032.239478,60.79332783,0,0
CH2035,3,3.4,51.82,500,0.111261502,0.055239028,28.73,0.563064014,0,0,588.9584929,1209.024117,0.697912839,4.021991279,4623.741203,60.70295627,3032.239478,60.70295627,0,0
CH2036,4,3.53,57.38,500,0.111261502,0.055239028,28.726,0.564837841,0,0,588.8012111,1208.897085,0.697912839,4.579454282,4622.974953,59.93118972,3032.239478,59.93118972,0,0
CH2037,2,3.52,48.75,500,0.111261502,0.055239028,28.726,0.564837841,0,0,588.676799,1208.77493,0.697912839,4.703437403,4622.913392,59.83768862,3032.239478,59.83768862,0,0
CH2038,3,3.41,44.75,500,0.111261502,0.055239028,28.726,0.564837841,0,0,588.4808441,1208.583626,0.697912839,4.916133963,4622.788564,59.66416728,3032.239478,59.66416728,0,0
CH2039,2,3.42,31.46,500,0.111261502,0.055239028,28.726,0.564837841,0,0,588.3940371,1208.4973,0.697912839,4.985432912,4622.773321,59.62545777,3032.239478,59.62545777,0,0
CH2040,1,3.5,25,500,0.111261502,0.055239028,28.726,0.564837841,0,0,588.2775198,1208.382565,0.697912839,5.096579921,4622.723965,59.54613137,3032.239478,59.54613137,0,0
CH2041,4,3.36,42.71,500,0.123439997,0.066264114,28.723,0.563101334,0,0,591.2260146,1211.345223,0.697912839,3.234743449,4622.466292,60.17140457,3032.239478,60.17140457,0,0
CH2042,3,3.28,47.42,500,0.111261502,0.055239028,28.723,0.563101334,0,0,591.1701492,1211.292173,0.697912839,3.320547576,4622.39211,60.08444867,3032.239478,60.08444867,0,0
CH2043,3,3.35,47.1,500,0.111261502,0.055239028,28.723,0.563101334,0,0,591.1080011,1211.232804,0.697912839,3.410247578,4622.318571,59.99614575,3032.239478,59.99614575,0,0
CH2044,3,3.3,45.58,500,0.111261502,0.055239028,28.723,0.563101334,0,0,591.0382126,1211.166184,0.697912839,3.511996596,4622.234666,59.8957541,3032.239478,59.8957541,0,0
CH2045,4,3.38,48.89,500,0.111261502,0.055239028,28.723,0.563101334,0,0,590.988821,1211.118911,0.697912839,3.582002898,4622.178405,59.82763745,3032.239478,59.82763745,0,0
CH2046,3,3.28,48.07,500,0.111261502,0.055239028,28.723,0.563101334,0,0,590.9088532,1211.042628,0.697912839,3.699933504,4622.08068,59.71113953,3032.239478,59.71113953,0,0
CH2047,3,3.27,46.01,500,0.111261502,0.055239028,28.736,0.565044415,0,0,590.870857,1211.006518,0.697912839,3.758447736,4622.030686,59.65244897,3032.239478,59.65244897,0,0
CH2048,3,3.28,47.45,500,0.111261502,0.055239028,28.736,0.565044415,0,0,590.8143522,1210.953023,0.697912839,3.849218758,4621.951,59.56016123,3032.239478,59.56016123,0,0
CH2049,4,3.32,48.36,500,0.111261502,0.055239028,28.736,0.565044415,0,0,590.7585314,1210.899997,0.697912839,3.93592782,4621.876821,59.4732575,3032.239478,59.4732575,0,0
CH2050,3,3.32,42.62,500,0.115689501,0.048637038,28.736,0.565044415,0,0,590.7087125,1210.852427,0.697912839,4.00907704,4621.81689,59.40159163,3032.239478,59.40159163,0,0
CH2051,2,3.51,38.57,500,0.097183999,0.040068909,28.7235,0.563601348,0,0,599.1969393,1219.369137,0.697912839,2.566594212,4621.361595,61.99948057,3032.239478,61.99948057,0,0
CH2052,2,3.79,52,500,0.097183999,0.040068909,28.7235,0.563601348,0,0,599.1779403,1219.354031,0.697912839,2.628713371,4621.257637,61.8989719,3032.239478,61.8989719,0,0
CH2053,4,3.67,128.23,500,0.097183999,0.040068909,28.7285,0.565538175,0,0,599.1552999,1219.335747,0.697912839,2.700801167,4621.141046,61.78572894,3032.239478,61.78572894,0,0
CH2054,3,3.38,43.42,500,0.097183999,0.040068909,28.7285,0.565538175,0,0,599.1331522,1219.316486,0.697912839,2.746602959,4621.063416,61.70750126,3032.239478,61.70750126,0,0
CH2055,3,3.3,51.3,500,0.126760006,0.034216274,28.7285,0.565538175,0,0,599.1029164,1219.290971,0.697912839,2.828020489,4620.936451,61.58196544,3032.239478,61.58196544,0,0
CH2056,2,3.52,44,500,0.126760006,0.034216274,28.7285,0.565538175,0,0,599.0877448,1219.278504,0.697912839,2.877412118,4620.863688,61.51089064,3032.239478,61.51089064,0,0
CH2057,3,3.29,53.73,500,0.126760006,0.034216274,28.7285,0.565538175,0,0,598.9677831,1219.190146,0.697912839,3.53950253,4620.008445,60.69945593,3032.239478,60.69945593,0,0
CH2058,3,3.36,54.3,500,0.126760006,0.034216274,28.733,0.567409457,0,0,598.9468436,1219.171702,0.697912839,3.591435145,4619.939989,60.62995787,3032.239478,60.62995787,0,0
CH2059,3,3.33,55.53,500,0.126760006,0.034216274,28.733,0.567409457,0,0,598.9257122,1219.154428,0.697912839,3.677061773,4619.834408,60.52729916,3032.239478,60.52729916,0,0
CH2060,2,3.51,40.83,500,0.126760006,0.034216274,28.733,0.567409457,0,0,598.9051295,1219.136881,0.697912839,3.743991309,4619.75106,60.44468176,3032.239478,60.44468176,0,0
CH2061,6,3.45,61.31,248,0.136974007,0.043610406,28.819,0.56541079,0,0,569.9593194,1189.82847,0.697912839,20.11343871,4627.678731,61.31434008,3032.239478,61.31434008,0,0
CH2062,3,3.17,38.4,248,0.136974007,0.043610406,28.819,0.56541079,0,0,569.8462428,1189.755765,0.697912839,20.15178475,4626.754998,60.54127733,3032.239478,60.54127733,0,0
CH2063,3,3.26,38.67,248,0.136974007,0.043610406,28.819,0.56541079,0,0,569.8450412,1189.754962,0.697912839,20.15245379,4626.745825,60.53206093,3032.239478,60.53206093,0,0
CH2064,3,3.46,13.5,248,0.136974007,0.043610406,28.819,0.56541079,0,0,569.8430508,1189.754337,0.697912839,20.15292207,4626.714415,60.50059406,3032.239478,60.50059406,0,0
CH2065,4,2.82,27,248,0.136974007,0.043610406,28.822,0.566063478,0,0,569.8136363,1189.728301,0.697912839,20.17565473,4626.635673,60.42066221,3032.239478,60.42066221,0,0
CH2066,1,3.24,46,800,0.168960005,0.05886165,28.71,0.542386932,0,0,601.5547858,1220.258392,0.697912839,4.24331074,4652.276326,47.99039718,3032.239478,47.99039718,0,0
